"~id","~start_node_id","~end_node_id","~relationship_type"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155181001001926905","4:7856e765-51e7-420d-bd24-570ba6669a83:249","4:7856e765-51e7-420d-bd24-570ba6669a83:556","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155181001001926908","4:7856e765-51e7-420d-bd24-570ba6669a83:252","4:7856e765-51e7-420d-bd24-570ba6669a83:558","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155181001001927198","4:7856e765-51e7-420d-bd24-570ba6669a83:542","4:7856e765-51e7-420d-bd24-570ba6669a83:544","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155181001001927202","4:7856e765-51e7-420d-bd24-570ba6669a83:546","4:7856e765-51e7-420d-bd24-570ba6669a83:241","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155181001001927207","4:7856e765-51e7-420d-bd24-570ba6669a83:551","4:7856e765-51e7-420d-bd24-570ba6669a83:456","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155181001001927209","4:7856e765-51e7-420d-bd24-570ba6669a83:553","4:7856e765-51e7-420d-bd24-570ba6669a83:241","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1155181001001927212","4:7856e765-51e7-420d-bd24-570ba6669a83:556","4:7856e765-51e7-420d-bd24-570ba6669a83:558","RELATES_TO"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1157425104234217705","4:7856e765-51e7-420d-bd24-570ba6669a83:233","4:7856e765-51e7-420d-bd24-570ba6669a83:59","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1157425104234217711","4:7856e765-51e7-420d-bd24-570ba6669a83:239","4:7856e765-51e7-420d-bd24-570ba6669a83:546","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1157425104234217923","4:7856e765-51e7-420d-bd24-570ba6669a83:451","4:7856e765-51e7-420d-bd24-570ba6669a83:251","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1157425104234217926","4:7856e765-51e7-420d-bd24-570ba6669a83:454","4:7856e765-51e7-420d-bd24-570ba6669a83:30","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1157425104234217927","4:7856e765-51e7-420d-bd24-570ba6669a83:455","4:7856e765-51e7-420d-bd24-570ba6669a83:36","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1157425104234217931","4:7856e765-51e7-420d-bd24-570ba6669a83:459","4:7856e765-51e7-420d-bd24-570ba6669a83:53","HAS_SECTION"
